virus,subtype,virus_and_subtype,gene,adaptive_subs_per_codon_per_year,lower_95ci,upper_95ci,ci,len_in_codons,adaptive_muts_per_year,lower_95ci_mutspergene,upper_95ci_mutspergene,legible_name,virus_family,color,rna_dna,genome_type,enveloped,transmission,cellular_receptor,fusion_protein_class,index,legible_gene_name
measles,,measles,receptor_binding,0.1488760781105891,0.0,0.464536965766201,"[0.0, 0.46453696576620107]",618,0.0920054162723441,0.0,0.2870838448435123,Measles,Paramyxovirus,#F5AD52,RNA,Negative-sense RNA,True,Respiratory,"SLAMF1, Nectin-4",Class I,53,H (Receptor Binding)
mumps,,mumps,receptor_binding,0.0177121918434842,0.0,0.0837561442164208,"[0.0, 0.08375614421642087]",583,0.0103262078447513,0.0,0.0488298320781733,Mumps,Paramyxovirus,#eb520d,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,17,HN (Receptor Binding)
parainfluenza,1,parainfluenza_1,receptor_binding,0.5301824829604939,-0.0807613335513118,1.0682467463132916,"[-0.08076133355131188, 1.0682467463132916]",576,0.3053851101852444,-0.0465185281255556,0.6153101258764561,Parainfluenza-1,Paramyxovirus,#ff9000,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,65,HN (Receptor Binding)
parainfluenza,3,parainfluenza_3,receptor_binding,0.0,0.0,0.0,"[0.0, 0.0]",573,0.0,0.0,0.0,Parainfluenza-3,Paramyxovirus,#ffb24e,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,65,HN (Receptor Binding)
h3n2,,h3n2,receptor_binding,3.968017826307325,2.958853820205344,4.99468539503025,"[2.9588538202053436, 4.99468539503025]",329,1.3054778648551095,0.973462906847558,1.6432514949649522,Influenza A/H3N2,Orthomyxovirus,#9F2A44,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,47,HA1 (Receptor Binding)
h1n1pdm,,h1n1pdm,receptor_binding,3.081395153594903,1.3370908325016322,5.264504569755848,"[1.3370908325016322, 5.264504569755848]",327,1.0076162152255332,0.4372287022280337,1.7214929943101624,Influenza A/H1N1pdm,Orthomyxovirus,#CC415A,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,41,HA1 (Receptor Binding)
vic,,vic,receptor_binding,1.1534834193373809,0.5371777048905576,1.7054541798505731,"[0.5371777048905576, 1.7054541798505731]",346,0.3991052630907338,0.1858634858921329,0.5900871462282983,Influenza B/Vic,Orthomyxovirus,#E06E85,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,26,HA1 (Receptor Binding)
yam,,yam,receptor_binding,1.5005224136436983,0.5579713024604996,2.221057553942913,"[0.5579713024604996, 2.221057553942913]",346,0.5191807551207196,0.1930580706513328,0.7684859136642479,Influenza B/Yam,Orthomyxovirus,#ED9AB0,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,2,HA1 (Receptor Binding)
influenzaC,Yamagata,influenzaC_Yamagata,receptor_binding,0.4212584098117445,0.2193364787867339,0.6671577228933111,"[0.21933647878673398, 0.6671577228933111]",432,0.1819836330386736,0.094753358835869,0.2882121362899104,Influenza C/Yamagata,Orthomyxovirus,#eb0076,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,62,HEF1 (Receptor Binding)
oc43,a,oc43_a,receptor_binding,1.866573224980902,1.0689984441339817,2.828605874053624,"[1.0689984441339815, 2.828605874053624]",753,1.405529638410619,0.804955828432888,2.129940223162379,OC43-A,Coronavirus,#208288,RNA,Positive-sense RNA,True,Respiratory,Sialic acid,Class I,38,S1 (Receptor Binding)
